[2026-06-07 09:22:32] --- NEW SESSION STARTED ---
[2026-06-07 09:23:02] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (165 Packets)
[2026-06-07 09:23:02] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (166 Packets)
[2026-06-07 09:23:02] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (167 Packets)
[2026-06-07 09:23:02] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (168 Packets)
[2026-06-07 09:23:02] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (169 Packets)
[2026-06-07 09:23:03] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (170 Packets)
[2026-06-07 09:23:03] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (171 Packets)
[2026-06-07 09:23:04] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (172 Packets)
[2026-06-07 09:23:04] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (173 Packets)
[2026-06-07 09:23:04] 192.168.29.46:5352 -> 51.132.193.104:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (174 Packets)
[2026-06-07 09:23:04] 192.168.29.46:5352 -> 51.132.193.104:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (175 Packets)
[2026-06-07 09:23:04] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (176 Packets)
[2026-06-07 09:23:04] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (177 Packets)
[2026-06-07 09:23:04] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (178 Packets)
[2026-06-07 09:23:04] 192.168.29.46:5352 -> 51.132.193.104:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (179 Packets)
[2026-06-07 09:23:04] 192.168.29.46:4536 -> 20.249.115.161:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (180 Packets)
[2026-06-07 09:23:04] 192.168.29.46:4536 -> 20.249.115.161:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (181 Packets)
[2026-06-07 09:23:05] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (182 Packets)
[2026-06-07 09:23:05] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (183 Packets)
[2026-06-07 09:23:06] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (184 Packets)
[2026-06-07 09:23:06] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (185 Packets)
[2026-06-07 09:23:06] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (186 Packets)
[2026-06-07 09:23:06] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (187 Packets)
[2026-06-07 09:23:06] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (188 Packets)
[2026-06-07 09:23:06] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: ALERT: Potential Flood Detected (189 Packets)
